                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4674,                 2.0356,                 1.4204,                 0.7833,                0.39627,                0.45119,                0.23877,                  1.707,                 1.8121,                 1.6637,             0.00041453,             0.00041453,             0.00041453
                      2,                 1.5414,                 1.6565,                 1.4715,                0.74977,                0.40224,                0.46132,                0.25591,                 1.6885,                 1.5612,                 1.6516,             0.00082297,             0.00082297,             0.00082297
                      3,                 1.5483,                 1.5972,                 1.4861,                0.78074,                0.39882,                0.45269,                 0.2563,                 1.6041,                 1.6578,                  1.623,              0.0012232,              0.0012232,              0.0012232
                      4,                 1.5586,                 1.5733,                 1.5042,                0.77404,                0.44477,                0.49416,                0.27461,                 1.6263,                 1.5038,                 1.6023,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.5236,                 1.5125,                 1.4731,                0.80543,                0.45666,                0.51484,                0.29574,                 1.6224,                  1.314,                 1.5964,              0.0012129,              0.0012129,              0.0012129
                      6,                 1.4932,                 1.4681,                 1.4559,                0.80524,                0.49402,                 0.5326,                0.31881,                 1.5709,                 1.2274,                 1.5512,              0.0012005,              0.0012005,              0.0012005
                      7,                 1.4755,                 1.4136,                   1.44,                0.74523,                0.44254,                0.49262,                0.29226,                 1.5762,                  1.452,                 1.5929,              0.0011881,              0.0011881,              0.0011881
                      8,                  1.468,                  1.381,                  1.431,                0.80364,                0.44552,                0.51442,                0.29987,                 1.6076,                 1.2842,                 1.5844,              0.0011757,              0.0011757,              0.0011757
                      9,                 1.4528,                  1.349,                 1.4189,                0.73165,                0.43167,                0.46297,                0.27424,                 1.5969,                 1.4727,                 1.6052,              0.0011634,              0.0011634,              0.0011634
                     10,                 1.4255,                 1.3133,                 1.4103,                0.83517,                0.48459,                 0.5447,                0.32928,                 1.5153,                 1.1377,                 1.4951,               0.001151,               0.001151,               0.001151
