                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.69283,                0.42029,                0.93228,                0.97549,                0.97313,                0.99008,                0.87927,                 0.5596,                0.29745,                0.85208,              0.0033324,              0.0033324,              0.0033324
                      2,                0.73735,                0.46594,                0.94555,                0.97169,                0.97102,                0.98895,                0.86696,                 0.5845,                0.31968,                0.86447,              0.0063358,              0.0063358,              0.0063358
                      3,                0.83916,                0.57849,                0.98455,                0.96339,                0.96387,                0.98611,                 0.8531,                0.61387,                0.35169,                0.87939,              0.0090092,              0.0090092,              0.0090092
                      4,                0.89286,                0.63182,                 1.0077,                0.96504,                0.96857,                0.98741,                 0.8628,                0.59473,                0.32819,                0.87276,               0.008515,               0.008515,               0.008515
                      5,                0.86815,                0.59952,                0.99802,                0.96664,                0.96976,                0.98776,                0.86647,                0.58733,                0.31948,                0.87082,               0.008515,               0.008515,               0.008515
                      6,                0.84406,                0.57187,                0.98842,                0.96724,                0.97061,                0.98815,                0.86987,                  0.581,                0.31232,                0.86835,                0.00802,                0.00802,                0.00802
                      7,                0.82736,                0.55362,                0.98267,                0.96794,                0.97215,                0.98848,                0.87253,                0.57603,                0.30693,                0.86655,               0.007525,               0.007525,               0.007525
                      8,                0.81662,                0.54165,                0.97803,                0.96949,                0.97123,                0.98821,                0.87421,                0.57059,                0.30167,                0.86443,                0.00703,                0.00703,                0.00703
                      9,                0.80293,                 0.5287,                0.97283,                0.97029,                0.97264,                0.98917,                0.87727,                0.56495,                0.29684,                0.86213,               0.006535,               0.006535,               0.006535
                     10,                0.79266,                0.51621,                 0.9688,                0.97087,                0.97369,                 0.9895,                0.87997,                0.55943,                0.29225,                0.85982,                0.00604,                0.00604,                0.00604
                     11,                0.66331,                0.39855,                 0.8957,                 0.9713,                0.97526,                0.98971,                 0.8831,                0.55092,                0.28704,                 0.8568,               0.005545,               0.005545,               0.005545
                     12,                0.64476,                 0.3808,                  0.888,                0.97214,                 0.9767,                0.98991,                 0.8866,                0.54219,                0.28103,                0.85391,                0.00505,                0.00505,                0.00505
                     13,                 0.6317,                0.36839,                0.88277,                0.97338,                0.97746,                0.99027,                 0.8899,                0.53427,                0.27527,                0.85089,               0.004555,               0.004555,               0.004555
                     14,                0.61855,                0.35613,                0.87767,                0.97522,                0.97866,                0.99056,                0.89303,                0.52682,                0.26963,                0.84788,                0.00406,                0.00406,                0.00406
                     15,                0.60484,                0.34448,                0.87191,                0.97721,                0.97912,                0.99085,                0.89593,                0.51956,                 0.2649,                0.84479,               0.003565,               0.003565,               0.003565
                     16,                 0.5906,                0.33182,                0.86675,                0.97875,                0.98012,                0.99103,                0.89853,                0.51294,                0.26004,                0.84217,                0.00307,                0.00307,                0.00307
                     17,                0.57551,                0.31973,                0.86169,                 0.9795,                0.98049,                0.99112,                0.90119,                0.50671,                0.25572,                0.83965,               0.002575,               0.002575,               0.002575
                     18,                0.55989,                0.30627,                0.85579,                0.98061,                0.98125,                0.99139,                0.90373,                0.50035,                0.25086,                0.83712,                0.00208,                0.00208,                0.00208
                     19,                0.54268,                0.29188,                0.85014,                0.98099,                0.98184,                0.99155,                0.90607,                0.49451,                0.24681,                0.83455,               0.001585,               0.001585,               0.001585
                     20,                0.52512,                0.27763,                0.84478,                0.98078,                0.98262,                0.99178,                0.90833,                 0.4894,                  0.243,                0.83269,                0.00109,                0.00109,                0.00109
